condition,rr,n,win_rate,expectancy,random_exp,edge
baseline_rr1.5,1.5,523,0.5105162523900574,-0.12763607691116427,-0.14964082718816513,0.022004750277000856
l4_rr1.5,1.5,90,0.6444444444444445,0.20353008095226235,-0.06729772112653026,0.27082780207879265
l4_hvol_rr1.5,1.5,32,0.65625,0.3790277264569228,0.06153994712098643,0.31748777933593636
baseline_rr2.0,2.0,523,0.5105162523900574,0.04683670770660289,0.020431007374201907,0.026405700332400986
l4_rr2.0,2.0,90,0.6444444444444445,0.44423609714271495,0.1192427346481637,0.32499336249455124
l4_hvol_rr2.0,2.0,32,0.65625,0.6548332717483073,0.2738479365451837,0.3809853352031236
baseline_rr2.5,2.5,523,0.5105162523900574,0.22130949232437003,0.19050284193656888,0.030806650387801143
l4_rr2.5,2.5,90,0.6444444444444445,0.6849421133331672,0.3057831904228576,0.3791589229103096
l4_hvol_rr2.5,2.5,32,0.65625,0.9306388170396918,0.486155925969381,0.44448289107031075
baseline_rr3.0,3.0,523,0.5105162523900574,0.3957822769421372,0.3605746764989359,0.035207600443201315
l4_rr3.0,3.0,90,0.6444444444444445,0.9256481295236197,0.49232364619755153,0.4333244833260682
l4_hvol_rr3.0,3.0,32,0.65625,1.2064443623310763,0.6984639153935782,0.5079804469374981
