date,orb,brisbane_time,ny_time,ny_date,session
2024-01-15,0900,09:00,18:00,2024-01-14,NY_EVENING
2024-01-15,1000,10:00,19:00,2024-01-14,NY_EVENING
2024-01-15,1100,11:00,20:00,2024-01-14,NY_EVENING
2024-01-15,1800,18:00,03:00,2024-01-15,NY_OVERNIGHT
2024-01-15,2300,23:00,08:00,2024-01-15,NY_PREMARKET
2024-01-15,0030,00:30,09:30,2024-01-15,NY_CASH_HOURS
2024-04-15,0900,09:00,19:00,2024-04-14,NY_EVENING
2024-04-15,1000,10:00,20:00,2024-04-14,NY_EVENING
2024-04-15,1100,11:00,21:00,2024-04-14,NY_EVENING
2024-04-15,1800,18:00,04:00,2024-04-15,NY_OVERNIGHT
2024-04-15,2300,23:00,09:00,2024-04-15,NY_CASH_HOURS
2024-04-15,0030,00:30,10:30,2024-04-15,NY_CASH_HOURS
2024-07-15,0900,09:00,19:00,2024-07-14,NY_EVENING
2024-07-15,1000,10:00,20:00,2024-07-14,NY_EVENING
2024-07-15,1100,11:00,21:00,2024-07-14,NY_EVENING
2024-07-15,1800,18:00,04:00,2024-07-15,NY_OVERNIGHT
2024-07-15,2300,23:00,09:00,2024-07-15,NY_CASH_HOURS
2024-07-15,0030,00:30,10:30,2024-07-15,NY_CASH_HOURS
2024-10-15,0900,09:00,19:00,2024-10-14,NY_EVENING
2024-10-15,1000,10:00,20:00,2024-10-14,NY_EVENING
2024-10-15,1100,11:00,21:00,2024-10-14,NY_EVENING
2024-10-15,1800,18:00,04:00,2024-10-15,NY_OVERNIGHT
2024-10-15,2300,23:00,09:00,2024-10-15,NY_CASH_HOURS
2024-10-15,0030,00:30,10:30,2024-10-15,NY_CASH_HOURS
2025-01-15,0900,09:00,18:00,2025-01-14,NY_EVENING
2025-01-15,1000,10:00,19:00,2025-01-14,NY_EVENING
2025-01-15,1100,11:00,20:00,2025-01-14,NY_EVENING
2025-01-15,1800,18:00,03:00,2025-01-15,NY_OVERNIGHT
2025-01-15,2300,23:00,08:00,2025-01-15,NY_PREMARKET
2025-01-15,0030,00:30,09:30,2025-01-15,NY_CASH_HOURS
2025-07-15,0900,09:00,19:00,2025-07-14,NY_EVENING
2025-07-15,1000,10:00,20:00,2025-07-14,NY_EVENING
2025-07-15,1100,11:00,21:00,2025-07-14,NY_EVENING
2025-07-15,1800,18:00,04:00,2025-07-15,NY_OVERNIGHT
2025-07-15,2300,23:00,09:00,2025-07-15,NY_CASH_HOURS
2025-07-15,0030,00:30,10:30,2025-07-15,NY_CASH_HOURS
